Filename,List length,Mean word length,Length of shortest word,Length of longest word,Free of prefix words?,Free of suffix words?,Entropy per word,Efficiency per character,Assumed entropy per character,Above brute force line?
./lists/1password-2023.txt,18176,6.20,3,8,false,false,14.150,2.283,4.717,false
./lists/NSA-RandPassGenerator-wordlist.txt,117828,7.90,2,21,false,false,16.846,2.133,8.423,false
./lists/bips-0039-english.txt,2048,5.40,3,8,false,false,11.000,2.035,3.667,true
./lists/eff-long.txt,7776,6.99,3,9,true,false,12.925,1.849,4.308,true
./lists/eff-short-general.txt,1296,4.54,3,5,true,false,10.340,2.277,3.447,true
./lists/eff-short-unique-prefixes.txt,1296,7.32,3,10,true,false,10.340,1.413,3.447,true
./lists/keepassxc.txt,7776,6.99,3,10,true,false,12.925,1.848,4.308,true
./lists/reinhold.txt,7776,4.24,1,6,false,false,12.925,3.049,12.925,false
./strongbox-wordlists/beale.wordlist.utf8.txt,7776,4.23,1,6,false,false,12.925,3.055,12.925,false
./strongbox-wordlists/catalan-diceware.wordlist.utf8.txt,7776,6.64,1,8,false,false,12.925,1.947,12.925,false
./strongbox-wordlists/diceware.wordlist.utf8.txt,7776,4.24,1,6,false,false,12.925,3.049,12.925,false
./strongbox-wordlists/dutch-diceware.wordlist.utf8.txt,7776,5.02,2,6,false,false,12.925,2.575,6.462,false
./strongbox-wordlists/eff_large_wordlist.utf8.txt,7776,6.99,3,9,true,false,12.925,1.849,4.308,true
./strongbox-wordlists/eff_short_wordlist_1.utf8.txt,1296,4.54,3,5,true,false,10.340,2.277,3.447,true
./strongbox-wordlists/eff_short_wordlist_2_0.utf8.txt,1296,7.32,3,10,true,false,10.340,1.413,3.447,true
./strongbox-wordlists/finnish-diceware.wordlist.utf8.txt,7688,4.53,1,6,false,false,12.908,2.852,12.908,false
./strongbox-wordlists/french-diceware.wordlist.utf8.txt,7775,4.92,1,6,false,false,12.925,2.629,12.925,false
./strongbox-wordlists/gameofthrones_8k_2018.utf8.txt,1,63191.00,63191,63191,true,true,0.000,0.000,0.000,false
./strongbox-wordlists/german-diceware.wordlist.utf8.txt,7776,7.34,3,10,false,false,12.925,1.762,4.308,true
./strongbox-wordlists/google-10000-english-usa-no-swears-medium.txt,5460,6.44,5,8,false,false,12.415,1.928,2.483,true
./strongbox-wordlists/harrypotter_8k_2018.utf8.txt,1,64127.00,64127,64127,true,true,0.000,0.000,0.000,false
./strongbox-wordlists/icelandic-diceware.wordlist.utf8.txt,7554,3.63,1,5,false,false,12.883,3.547,12.883,false
./strongbox-wordlists/italian-diceware.wordlist.utf8.txt,7776,5.03,1,6,false,false,12.925,2.568,12.925,false
./strongbox-wordlists/japanese-diceware.wordlist.utf8.txt,7776,4.96,1,6,false,false,12.925,2.605,12.925,false
./strongbox-wordlists/norwegian-diceware.wordlist.utf8.txt,7776,4.23,1,5,false,false,12.925,3.057,12.925,false
./strongbox-wordlists/polish-diceware.wordlist.utf8.txt,7776,4.82,1,6,false,false,12.925,2.680,12.925,false
./strongbox-wordlists/ptbr-diceware.wordlist.utf8.txt,7776,7.67,4,18,false,false,12.925,1.686,3.231,true
./strongbox-wordlists/securedrop.wordlist.utf8.txt,6800,4.48,1,6,false,false,12.731,2.843,12.731,false
./strongbox-wordlists/star_trek_8k_2018.utf8.txt,1,65209.00,65209,65209,true,true,0.000,0.000,0.000,false
./strongbox-wordlists/starwars_8k_2018.utf8.txt,1,63391.00,63391,63391,true,true,0.000,0.000,0.000,false
./strongbox-wordlists/swedish-diceware.wordlist.utf8.txt,7775,4.35,1,6,false,false,12.925,2.973,12.925,false
